,chocoltes_names,chocolates_prices,chocolates_offers
0,Tosca Muso Heart shaped center filled milk chocolate Pa...,"<div class=""_30jeq3"">₹225</div>","<div class=""_3Ay6Sb""><span>25% off</span></div>"
1,"Winola Milk Choco Biscuit Balls- Chocolate Munchies, Ch...","<div class=""_30jeq3"">₹379</div>","<div class=""_3Ay6Sb""><span>62% off</span></div>"
2,Cadbury Dairy Milk Silk Blush Bars,"<div class=""_30jeq3"">₹136</div>","<div class=""_3Ay6Sb""><span>22% off</span></div>"
3,Cadbury Dairy Milk Home Treats Chocolate Bars,"<div class=""_30jeq3"">₹94</div>","<div class=""_3Ay6Sb""><span>36% off</span></div>"
4,Cadbury Dairy Milk Crackle Chocolate Bars,"<div class=""_30jeq3"">₹40</div>","<div class=""_3Ay6Sb""><span>11% off</span></div>"
5,Cadbury Dairy Milk Fruit and Nut Chocolate Bars,"<div class=""_30jeq3"">₹72</div>","<div class=""_3Ay6Sb""><span>10% off</span></div>"
6,Choki Choki Choco Milk Fudges,"<div class=""_30jeq3"">₹86</div>","<div class=""_3Ay6Sb""><span>14% off</span></div>"
7,Tosca Muso Gold Chocolate- Center Filled Milk Chocolate...,"<div class=""_30jeq3"">₹229</div>","<div class=""_3Ay6Sb""><span>23% off</span></div>"
8,Cadbury Dairy Milk Chocolate Bars,"<div class=""_30jeq3"">₹45</div>","<div class=""_3Ay6Sb""><span>10% off</span></div>"
9,Cadbury Dairy Milk Silk Fruit and Nut Bars,"<div class=""_30jeq3"">₹143</div>","<div class=""_3Ay6Sb""><span>18% off</span></div>"
10,Cadbury Bournville Cranberry Dark Chocolate Bars,"<div class=""_30jeq3"">₹74</div>","<div class=""_3Ay6Sb""><span>26% off</span></div>"
11,LuvIt Dairy Rich Roasted Almond Chocolate | With Roaste...,"<div class=""_30jeq3"">₹240</div>","<div class=""_3Ay6Sb""><span>20% off</span></div>"
12,Cadbury Dairy Milk Silk Oreo Chocolate Bars,"<div class=""_30jeq3"">₹144</div>","<div class=""_3Ay6Sb""><span>17% off</span></div>"
13,Cadbury Fuse Chocolate Bars,"<div class=""_30jeq3"">₹21</div>","<div class=""_3Ay6Sb""><span>40% off</span></div>"
14,LuvIt Luscious Love Delights Bars,"<div class=""_30jeq3"">₹83</div>","<div class=""_3Ay6Sb""><span>62% off</span></div>"
15,"CHOCOINDIANART Very Nice Happy Valentine's Day, 06pcs D...","<div class=""_30jeq3"">₹270</div>","<div class=""_3Ay6Sb""><span>46% off</span></div>"
16,Cadbury Dairy Milk Silk Mousse Bars,"<div class=""_30jeq3"">₹71</div>","<div class=""_3Ay6Sb""><span>11% off</span></div>"
17,Cadbury Perk Home Treats Chocolate Bars,"<div class=""_30jeq3"">₹66</div>","<div class=""_3Ay6Sb""><span>33% off</span></div>"
18,SNICKERS Duos Peanut Chocoate Bars,"<div class=""_30jeq3"">₹56</div>","<div class=""_3Ay6Sb""><span>55% off</span></div>"
19,"CHOCOINDIANART Special Happy Birthday Day, 06pcs Delici...","<div class=""_30jeq3"">₹300</div>","<div class=""_3Ay6Sb""><span>40% off</span></div>"
20,Cadbury Gems 7.9 Gm (Pack of 84) Crackles,"<div class=""_30jeq3"">₹407</div>","<div class=""_3Ay6Sb""><span>3% off</span></div>"
21,Cadbury 5 Star Home Treats Bars,"<div class=""_30jeq3"">₹90</div>","<div class=""_3Ay6Sb""><span>39% off</span></div>"
22,Cadbury Gems Minis Crackles,"<div class=""_30jeq3"">₹86</div>","<div class=""_3Ay6Sb""><span>14% off</span></div>"
23,SNICKERS Miniatures Peanut Filled Chocolates(510g) Bars,"<div class=""_30jeq3"">₹542</div>","<div class=""_3Ay6Sb""><span>9% off</span></div>"
24,Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bars,"<div class=""_30jeq3"">₹76</div>","<div class=""_3Ay6Sb""><span>5% off</span></div>"
25,SNICKERS Family Treat Peanut Chocolate Pouch Bars,"<div class=""_30jeq3"">₹86</div>","<div class=""_3Ay6Sb""><span>42% off</span></div>"
26,Cadbury Shots Truffles,"<div class=""_30jeq3"">₹101</div>","<div class=""_3Ay6Sb""><span>12% off</span></div>"
27,WINNI CELEBRATE RELATIONS Chocolate 24 Pcs Gift pack | ...,"<div class=""_30jeq3"">₹649</div>","<div class=""_3Ay6Sb""><span>56% off</span></div>"
28,BOUNTY Miniatures Coconut Chocolate Pouch Bars,"<div class=""_30jeq3"">₹172</div>","<div class=""_3Ay6Sb""><span>13% off</span></div>"
29,LuvIt Luscious Dark Love Delights Bars,"<div class=""_30jeq3"">₹120</div>","<div class=""_3Ay6Sb""><span>60% off</span></div>"
30,HERSHEY'S Exotic Dark Californian Almonds Truffles,"<div class=""_30jeq3"">₹48</div>","<div class=""_3Ay6Sb""><span>20% off</span></div>"
31,"CHOCOINDIANART Special, Happy BirthDay, 12 Chocolate Su...","<div class=""_30jeq3"">₹418</div>","<div class=""_3Ay6Sb""><span>50% off</span></div>"
32,Cadbury Bournville Rich Cocoa Dark Chocolate Bars,"<div class=""_30jeq3"">₹32</div>","<div class=""_3Ay6Sb""><span>28% off</span></div>"
33,Cadbury Bournville Fruit & Nut Dark Chocolate Bar Bars,"<div class=""_30jeq3"">₹80</div>","<div class=""_3Ay6Sb""><span>20% off</span></div>"
34,"Cadbury Dairy Milk Roast Almond Chocolate Bar, 36 gm Pa...","<div class=""_30jeq3"">₹518</div>","<div class=""_3Ay6Sb""><span>4% off</span></div>"
35,LuvIt Chocwich White with Crunchy Wafers Coated with th...,"<div class=""_30jeq3"">₹642</div>","<div class=""_3Ay6Sb""><span>19% off</span></div>"
36,Nestle Munch Bars,"<div class=""_30jeq3"">₹81</div>","<div class=""_3Ay6Sb""><span>19% off</span></div>"
37,Cadbury Dairy Milk Silk Roast Almond Bars,"<div class=""_30jeq3"">₹147</div>","<div class=""_3Ay6Sb""><span>16% off</span></div>"
38,GALAXY Milk Chocolate with Cookie Crumble Bars,"<div class=""_30jeq3"">₹39</div>","<div class=""_3Ay6Sb""><span>48% off</span></div>"
39,"FERRERO ROCHER Rocher Premium Chocolates 24 Pieces, 300...","<div class=""_30jeq3"">₹880</div>","<div class=""_3Ay6Sb""><span>19% off</span></div>"
