,mobile,spec,Battery
0,"REDMI Note 10S (Deep Sea Blue, 64 GB)","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
1,"realme 9 5G (Meteor Black, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
2,"realme 9 5G (Stargaze White, 128 GB)","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
3,Good One AIR,"<li class=""rgWa7D"">32 MB RAM | 32 MB ROM | Expandable Upto 32 GB</li>","<li class=""rgWa7D"">2500 mAh Battery</li>"
4,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
5,"realme 9 5G (Stargaze White, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
6,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
7,"Infinix HOT 12 Play (Daylight Green, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>","<li class=""rgWa7D"">6000 mAh Li-ion Polymer Battery</li>"
8,"REDMI Note 10S (Cosmic Purple, 64 GB)","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
9,"POCO C31 (Royal Blue, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Lithium-ion Polymer Battery</li>"
10,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
11,"realme 9 5G (Meteor Black, 128 GB)","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
12,"realme C35 (Glowing Green, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
13,"REDMI Note 10S (Frost White, 64 GB)","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
14,"realme C35 (Glowing Black, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
15,"REDMI 9i Sport (Coral Green, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Li-Polymer Battery</li>"
16,"REDMI 9i Sport (Metallic Blue, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">5000 mAh Li-Polymer Battery</li>"
17,"REDMI 10 (Pacific Blue, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
18,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
19,"realme C35 (Glowing Green, 128 GB)","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
20,"vivo T1 5G (Rainbow Fantasy, 128 GB)","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Battery</li>"
21,"vivo T1 5G (Rainbow Fantasy, 128 GB)","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Battery</li>"
22,"vivo T1 5G (Rainbow Fantasy, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Battery</li>"
23,"vivo T1 5G (Starlight Black, 128 GB)","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>","<li class=""rgWa7D"">5000 mAh Lithium Battery</li>"
